window_hours,model,log_mae,log_rmse,log_r2,original_mae,original_rmse,original_r2
1,Median Baseline,2.063190941746348,2.561869026446287,-0.04314040683779519,663.1256718147181,1120.2938297755527,-0.26393661184313433
1,Ridge Regression,1.706741219164829,1.9616214470059092,0.3884114800745747,575.509862831768,1004.2963950247881,-0.015746216985232264
1,Random Forest,1.4378860145443007,1.7278225430821605,0.5255098574999773,562.9327572123805,1016.5355319215547,-0.04065441978824813
6,Median Baseline,2.063190941746348,2.561869026446287,-0.04314040683779519,663.1256718147181,1120.2938297755527,-0.26393661184313433
6,Ridge Regression,1.6190753560265085,1.8969228851426154,0.4280892307381484,559.0534025240661,1004.5571991779327,-0.016273840564052344
6,Random Forest,1.3285825554070936,1.5471017306122414,0.6195770873933211,566.0349155991605,1003.7384910507599,-0.014618001348593479
24,Median Baseline,2.063190941746348,2.561869026446287,-0.04314040683779519,663.1256718147181,1120.2938297755527,-0.26393661184313433
24,Ridge Regression,1.6720372572583648,1.9722314853086447,0.3817776553308885,20969.13425612114,156345.8794206786,-24615.952367441067
24,Random Forest,1.3262003321825053,1.5631285380578193,0.6116544736104343,572.3746460212869,1007.7605087733722,-0.022765517065048257
